股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,成交量,成交额(万元)
000001,平安银行,2026-06-05,10.8300,11.0300,10.8300,10.9800,1003503,110184.63
000002,万 科Ａ,2026-06-05,3.2500,3.3700,3.2300,3.2500,1644371,53442.06
000006,深振业Ａ,2026-06-05,8.4100,8.6900,8.2100,8.5100,347372,29561.36
000007,全新好,2026-06-05,12.4300,12.5500,12.1300,12.3100,84727,10429.89
000008,神州高铁,2026-06-05,2.5700,2.6000,2.5600,2.5900,213548,5530.89
000009,中国宝安,2026-06-05,7.1500,7.3400,7.0200,7.1900,256012,18407.26
000010,*ST美丽,2026-06-05,2.1000,2.2600,2.1000,2.2600,227961,5151.92
000011,深物业A,2026-06-05,7.1900,7.6000,7.1900,7.5800,63618,4822.24
000012,南 玻Ａ,2026-06-05,4.1600,4.5400,4.0700,4.3800,1282677,56181.25
000014,沙河股份,2026-06-05,10.4600,10.8000,10.4000,10.6700,56923,6073.68
000016,*ST康佳A,2026-06-05,3.2000,3.2400,3.1700,3.1800,206801,6576.27
000017,深中华A,2026-06-05,5.2400,5.4100,5.2100,5.3200,92131,4901.37
000019,深粮控股,2026-06-05,6.3700,6.4600,6.3600,6.4200,80900,5193.78
000020,深华发Ａ,2026-06-05,12.3800,12.6100,12.0000,12.4600,39953,4978.14
000021,深科技,2026-06-05,38.6800,39.3000,37.6800,38.1300,1362653,519579.59
000025,特 力Ａ,2026-06-05,14.9500,15.7500,14.9500,15.2800,83371,12739.09
000026,飞亚达,2026-06-05,21.3600,23.2500,21.0100,22.5600,199884,45093.83
000027,深圳能源,2026-06-05,7.7700,7.9300,7.2500,7.2900,942947,68740.84
000028,国药一致,2026-06-05,22.6400,22.9200,22.6400,22.7900,17191,3917.83
000029,深深房Ａ,2026-06-05,23.3000,23.5800,22.9100,23.0900,50542,11670.15
000030,富奥股份,2026-06-05,4.5000,4.5800,4.4900,4.5200,74094,3349.05
000031,大悦城,2026-06-05,2.5300,2.8200,2.5300,2.6500,1087542,28819.86
000032,深桑达Ａ,2026-06-05,16.4600,16.4800,15.9000,15.9000,229122,36430.40
000034,神州数码,2026-06-05,24.7000,25.2900,23.9900,24.4400,370716,90602.99
000035,中国天楹,2026-06-05,5.6900,5.7100,5.4800,5.5100,426149,23480.81
000036,华联控股,2026-06-05,5.1000,5.1900,5.0300,5.1100,243105,12422.67
000037,深南电A,2026-06-05,11.4100,11.8100,10.8500,10.9500,433038,47417.66
000039,中集集团,2026-06-05,10.1200,10.2300,9.7700,9.8700,331634,32732.28
000042,中洲控股,2026-06-05,9.9800,10.1400,9.8700,9.9700,54307,5414.41
000045,深纺织Ａ,2026-06-05,11.2000,11.7900,11.1800,11.5400,89977,10383.35
000048,京基智农,2026-06-05,14.4300,14.6600,13.8700,14.1000,174912,24662.59
000049,德赛电池,2026-06-05,24.6500,24.8900,23.9300,24.4600,82445,20166.05
000050,深天马Ａ,2026-06-05,8.1300,9.0600,8.0600,8.6100,1088009,93677.57
000055,方大集团,2026-06-05,3.7100,3.8900,3.6000,3.6700,591142,21694.91
000056,*ST皇庭,2026-06-05,1.7900,1.8400,1.7600,1.8400,539621,9929.03
000058,深 赛 格,2026-06-05,7.0000,7.1800,6.9900,7.0700,89955,6359.82
000059,华锦股份,2026-06-05,4.6100,4.7300,4.5800,4.6300,244760,11332.39
000060,中金岭南,2026-06-05,7.7000,7.7500,7.3800,7.4500,2718313,202514.32
000061,农 产 品,2026-06-05,6.2300,6.3200,6.1800,6.2100,138557,8604.39
000062,深圳华强,2026-06-05,32.4700,34.8400,32.1200,33.6600,800151,269330.83
000063,中兴通讯,2026-06-05,37.5800,41.3000,37.0500,39.1300,4637054,1814479.23
000065,北方国际,2026-06-05,12.7100,12.9800,12.2400,12.4000,273556,33920.94
000066,中国长城,2026-06-05,17.7400,17.7400,16.9800,17.0500,1707095,291059.70
000068,华控赛格,2026-06-05,3.2500,3.5600,3.2400,3.5600,909668,32384.18
000069,华侨城Ａ,2026-06-05,1.9000,1.9900,1.9000,1.9300,585031,11291.10
000070,特发信息,2026-06-05,18.5400,20.3800,18.5400,19.9200,1786816,355933.75
000078,ST海王,2026-06-05,1.6900,1.7700,1.6400,1.7700,1385368,24521.01
000088,盐 田 港,2026-06-05,4.3900,4.4300,4.3800,4.3900,163984,7198.90
000089,深圳机场,2026-06-05,6.5300,6.6500,6.5300,6.5800,76278,5019.09
000090,天健集团,2026-06-05,3.6100,3.8300,3.4900,3.5100,729019,25588.57
000096,广聚能源,2026-06-05,8.0100,8.1800,7.9400,8.1000,56668,4590.11
000099,中信海直,2026-06-05,15.1500,15.4700,14.8100,15.2000,96182,14619.66
000100,TCL科技,2026-06-05,4.8900,5.1500,4.8200,4.8900,18851179,921822.65
000151,中成股份,2026-06-05,14.1000,14.2500,13.6700,13.9100,182892,25440.28
000153,丰原药业,2026-06-05,5.5100,5.7300,5.5100,5.6000,63620,3562.72
000155,川能动力,2026-06-05,13.6000,13.8200,13.2400,13.3700,405830,54259.47
000156,华数传媒,2026-06-05,6.6700,6.7900,6.6600,6.7000,84423,5656.34
000157,中联重科,2026-06-05,7.3700,7.5900,7.3600,7.5200,1060948,79783.29
000158,常山北明,2026-06-05,14.5200,14.9500,14.3600,14.5500,225739,32845.02
000159,国际实业,2026-06-05,6.8800,7.0700,6.8300,7.0000,377308,26411.56
000166,申万宏源,2026-06-05,4.3100,4.4000,4.3100,4.3300,866752,37530.36
000301,东方盛虹,2026-06-05,11.7000,12.1900,11.5800,11.8500,156009,18487.07
000333,美的集团,2026-06-05,82.3000,83.3000,81.6000,81.6900,209494,171135.65
000338,潍柴动力,2026-06-05,34.3100,34.3800,30.9000,31.1200,1523092,473986.23
000400,许继电气,2026-06-05,24.0900,24.0900,23.0100,23.1900,315821,73238.89
000401,金隅冀东,2026-06-05,3.9200,4.0000,3.9200,3.9500,58528,2311.86
000402,金 融 街,2026-06-05,2.9000,3.0700,2.9000,2.9300,869538,25477.46
000403,派林生物,2026-06-05,12.8500,13.1500,12.6200,12.7300,137505,17504.39
000404,长虹华意,2026-06-05,8.0400,8.3300,7.9700,8.2200,181465,14916.42
000407,胜利股份,2026-06-05,4.1900,4.2200,4.1300,4.1800,160035,6689.46
000408,藏格矿业,2026-06-05,77.6500,78.9800,75.8200,76.0800,95135,72378.71
000409,云鼎科技,2026-06-05,9.4700,9.5900,9.3500,9.5500,60183,5747.48
000410,沈阳机床,2026-06-05,5.2000,5.3800,5.1700,5.2700,238328,12559.89
000411,英特集团,2026-06-05,11.6900,11.8600,11.3600,11.3900,135786,15466.03
000415,渤海租赁,2026-06-05,3.9200,4.0900,3.8400,3.8900,735820,28623.40
000417,合百集团,2026-06-05,7.7500,7.8900,7.4600,7.5000,581172,43587.90
000419,通程控股,2026-06-05,5.0300,5.1600,5.0200,5.1100,70850,3620.44
000420,吉林化纤,2026-06-05,4.3600,4.5800,4.3400,4.4800,1125504,50422.58
000421,南京公用,2026-06-05,5.7500,5.8300,5.7000,5.7600,57537,3314.13
000422,湖北宜化,2026-06-05,13.3600,13.4800,13.1500,13.2300,237235,31386.19
000423,东阿阿胶,2026-06-05,48.5900,50.2200,48.5000,49.6000,73744,36577.02
000425,徐工机械,2026-06-05,9.5000,9.7700,9.4300,9.5200,1231068,117197.67
000426,兴业银锡,2026-06-05,39.6800,39.9000,37.8300,38.0800,647722,246652.54
000428,华天酒店,2026-06-05,3.5000,3.5900,3.4900,3.5500,130296,4625.51
000429,粤高速Ａ,2026-06-05,13.7400,13.9200,13.6400,13.7800,42837,5902.94
000430,张家界,2026-06-05,8.3000,8.5800,8.2600,8.3500,234089,19546.43
000488,ST晨鸣,2026-06-05,2.1400,2.1800,2.1300,2.1500,106728,2294.65
