id,pick_date,stock_code,rank,score,signal_tags,risk_level,suggestion
754,2026-05-18,001259,11,10.00,,,
942,2026-06-02,688208,1,-0.36,,,
918,2026-06-02,300775,4,-0.58,,,
905,2026-06-02,002787,11,9.98,,,
947,2026-06-02,688498,24,16.41,,,
924,2026-06-02,301128,26,-2.40,,,
903,2026-06-02,002691,48,-5.01,,,
670,2026-05-28,300979,5,-2.39,,,
653,2026-05-28,001896,12,10.03,,,
674,2026-05-28,301349,29,-2.05,,,
723,2026-05-25,301018,5,-1.51,,,
704,2026-05-25,002008,24,2.83,,,
709,2026-05-25,002501,42,5.33,,,
162,2026-05-19,300166,16,0.86,,,
176,2026-05-19,301609,35,2.47,,,
464,2026-05-14,003019,28,-3.59,,,
484,2026-05-14,603389,48,-0.53,,,
341,2026-05-27,688017,23,2.90,,,
328,2026-05-27,600578,35,10.01,,,
349,2026-05-27,688517,49,-1.47,,,
53,2026-05-21,000725,1,2.19,,,
71,2026-05-21,300779,15,3.95,,,
91,2026-05-21,688146,43,-4.86,,,
864,2026-05-13,300102,12,2.55,,,
866,2026-05-13,300449,34,2.07,,,
432,2026-05-07,603002,12,-5.82,,,
403,2026-05-07,001282,28,-1.94,,,
594,2026-06-03,688208,1,-0.36,,,
588,2026-06-03,601279,28,-1.95,,,
591,2026-06-03,605589,50,0.98,,,
957,2026-06-01,001296,31,-2.01,,,
627,2026-05-29,600162,1,4.36,,,
639,2026-05-29,603272,2,-5.00,,,
621,2026-05-29,300979,5,-2.39,,,
604,2026-05-29,000821,26,-2.87,,,
644,2026-05-29,688017,35,2.90,,,
365,2026-05-26,300613,1,2.19,,,
367,2026-05-26,300936,4,2.88,,,
396,2026-05-26,688218,22,-2.80,,,
364,2026-05-26,300234,40,-1.05,,,
147,2026-05-20,688584,12,2.87,,,
134,2026-05-20,605168,16,1.33,,,
114,2026-05-20,300745,37,12.00,,,
796,2026-05-18,688549,29,2.48,,,
784,2026-05-18,600769,48,0.55,,,
819,2026-05-15,300432,17,-1.67,,,
836,2026-05-15,601016,35,-1.22,,,
19,2026-05-22,301018,14,-1.51,,,
10,2026-05-22,002938,15,-3.21,,,
11,2026-05-22,300123,16,0.85,,,
236,2026-05-12,603843,2,2.16,,,
227,2026-05-12,600550,25,-2.10,,,
202,2026-05-12,002208,33,1.02,,,
250,2026-05-12,688800,50,4.78,,,
251,2026-05-11,000711,16,2.27,,,
279,2026-05-11,600869,34,6.41,,,
506,2026-05-08,002135,16,-1.63,,,
517,2026-05-08,300592,37,-3.25,,,
179,2026-05-19,600487,7,10.00,,,
157,2026-05-19,002384,24,6.19,,,
314,2026-05-27,300478,42,0.74,,,
302,2026-05-27,000903,47,-1.05,,,
330,2026-05-27,600971,32,2.52,,,
423,2026-05-07,301128,5,-2.40,,,
467,2026-05-14,300209,15,5.88,,,
460,2026-05-14,002620,39,-5.02,,,
635,2026-05-29,601888,32,0.19,,,
537,2026-05-08,605178,2,6.40,,,
649,2026-05-29,688498,46,16.41,,,
645,2026-05-29,688089,47,-2.25,,,
854,2026-05-13,000962,19,1.26,,,
849,2026-05-15,688549,6,2.48,,,
913,2026-06-02,300123,16,0.85,,,
944,2026-06-02,688300,42,-9.13,,,
351,2026-05-26,000021,25,3.01,,,
389,2026-05-26,605111,45,4.27,,,
278,2026-05-11,600726,38,5.09,,,
259,2026-05-11,002730,47,3.54,,,
703,2026-05-25,001378,11,-0.15,,,
722,2026-05-25,300975,19,-1.66,,,
750,2026-05-25,688766,29,0.53,,,
741,2026-05-25,688090,43,14.13,,,
199,2026-05-19,688633,4,-1.65,,,
480,2026-05-14,600578,1,10.01,,,
499,2026-05-14,688596,9,-0.94,,,
461,2026-05-14,002691,10,-5.01,,,
451,2026-05-14,001210,34,-2.60,,,
322,2026-05-27,301349,36,-2.05,,,
971,2026-06-01,300775,10,-0.58,,,
988,2026-06-01,603359,11,-3.32,,,
978,2026-06-01,600421,12,-2.86,,,
974,2026-06-01,301092,13,-4.74,,,
986,2026-06-01,603255,15,1.68,,,
975,2026-06-01,301189,16,-5.81,,,
1000,2026-06-01,688819,17,-0.81,,,
989,2026-06-01,603823,18,1.73,,,
972,2026-06-01,300979,19,-2.39,,,
992,2026-06-01,605277,20,-1.43,,,
969,2026-06-01,300605,21,-1.54,,,
993,2026-06-01,688017,23,2.90,,,
991,2026-06-01,603986,25,3.70,,,
984,2026-06-01,600841,26,-1.32,,,
994,2026-06-01,688079,40,12.86,,,
982,2026-06-01,600721,42,-0.27,,,
999,2026-06-01,688700,43,0.85,,,
998,2026-06-01,688308,44,6.80,,,
966,2026-06-01,300201,45,-4.99,,,
983,2026-06-01,600758,46,2.67,,,
985,2026-06-01,601089,47,-1.48,,,
370,2026-05-26,301148,21,0.65,,,
25,2026-05-22,600183,25,0.01,,,
2,2026-05-22,000725,26,2.19,,,
46,2026-05-22,688551,27,2.72,,,
31,2026-05-22,601888,28,0.19,,,
45,2026-05-22,688536,29,7.41,,,
35,2026-05-22,603989,30,-1.89,,,
27,2026-05-22,600725,32,1.52,,,
47,2026-05-22,688619,33,-4.68,,,
20,2026-05-22,301186,34,-1.50,,,
26,2026-05-22,600378,35,-4.05,,,
28,2026-05-22,600782,37,0.00,,,
42,2026-05-22,688228,38,-0.43,,,
36,2026-05-22,605222,39,1.02,,,
23,2026-05-22,301317,40,0.78,,,
12,2026-05-22,300180,41,-0.61,,,
39,2026-05-22,688178,42,-4.25,,,
40,2026-05-22,688191,43,8.72,,,
16,2026-05-22,300819,44,-0.67,,,
4,2026-05-22,001339,45,0.65,,,
