id,code,report_date,report_type,total_revenue,net_profit,revenue_growth,profit_growth,total_assets,total_liabilities,net_assets,roe,eps,bps,gross_margin,net_margin,debt_ratio,created_at
9,000011,2026-03-31,一季报,556225443.63,-30085323.99,,,15058538739.40,11857914926.17,0.00,0.0000,-0.0457,0.0000,12.8700,0.0000,78.7500,2026-06-05 20:21:30.202569+00:00
10,000011,2025-12-31,年报,2383288250.02,4693347.66,,,15428127953.74,12193882036.67,0.00,0.0000,0.0569,0.0000,27.1100,0.2000,79.0400,2026-06-05 20:21:30.202569+00:00
11,000011,2025-09-30,三季报,1715772065.73,26059328.50,,,15304195742.46,12048097355.29,0.00,0.0000,0.0541,0.0000,25.0400,1.5200,78.7200,2026-06-05 20:21:30.202569+00:00
12,000011,2025-06-30,中报,1087908935.87,10075661.93,,,16639099914.24,13399036580.49,0.00,0.0000,0.0242,0.0000,25.2200,0.9300,80.5300,2026-06-05 20:21:30.202569+00:00
13,000028,2026-03-31,一季报,17823409770.31,305160963.77,,,49123776186.09,27211072608.60,0.00,0.0000,0.5200,0.0000,9.9600,1.7100,55.3900,2026-06-05 20:21:30.202569+00:00
14,000028,2025-12-31,年报,73415858423.13,1128348677.76,,,49096270979.03,27471786425.52,0.00,0.0000,2.0400,0.0000,10.6800,1.5400,55.9500,2026-06-05 20:21:30.202569+00:00
15,000028,2025-09-30,三季报,55124490690.34,1019397384.05,,,50558862580.68,29013188938.82,0.00,0.0000,1.7200,0.0000,10.4900,1.8500,57.3800,2026-06-05 20:21:30.202569+00:00
16,000028,2025-06-30,中报,36796598397.42,712593802.45,,,50426135786.96,29175713861.92,0.00,0.0000,1.2000,0.0000,10.6900,1.9400,57.8600,2026-06-05 20:21:30.202569+00:00
21,000004,2026-03-31,一季报,16622745.12,-3964096.78,,,344260967.71,229169792.13,0.00,0.0000,-0.0483,0.0000,80.0000,0.0000,66.5700,2026-06-05 20:22:51.749770+00:00
22,000004,2025-12-31,年报,176957354.87,14756501.90,,,411739216.17,292173943.81,0.00,0.0000,0.0490,0.0000,80.9600,8.3400,70.9600,2026-06-05 20:22:51.749770+00:00
23,000004,2025-09-30,三季报,51022417.04,-34311085.69,,,260545606.82,216301546.14,0.00,0.0000,-0.2046,0.0000,69.5400,0.0000,83.0200,2026-06-05 20:22:51.749770+00:00
