code,price,open,high,low,volume,amount,bid_vol,ask_vol,turnover,updated_at
000048,14.1000,14.4300,14.6600,13.8700,174912,247306144.00,79052,95860,3.2990,2026-06-06 12:02:19.577001+00:00
000049,24.4600,24.6500,24.8900,23.9300,82444,200945680.00,37071,45374,2.1434,2026-06-06 12:02:19.577001+00:00
000050,8.6100,8.1300,9.0600,8.0600,1088008,945207488.00,653914,434095,4.4668,2026-06-06 12:02:19.577001+00:00
688766,396.0000,404.0000,421.0000,393.0000,63409,2580958720.00,30049,33361,0.0428,2026-06-05 21:34:50.826350+00:00
688793,18.1800,18.0000,18.5500,17.2000,18718,33703788.00,10065,8654,0.0218,2026-06-05 21:34:50.826350+00:00
688800,126.1100,134.0000,138.6000,125.2800,163689,2162591488.00,73108,90582,0.0796,2026-06-05 21:34:50.826350+00:00
688819,24.2300,24.1400,24.6800,23.9000,28922,70175184.00,14884,14039,0.0030,2026-06-05 21:34:50.826350+00:00
688981,127.4000,131.0000,134.7500,126.7000,934574,12150117376.00,417073,517501,0.0467,2026-06-05 21:34:50.826350+00:00
000001,10.9800,10.8300,11.0300,10.8300,1003503,1102446080.00,560931,442572,0.5171,2026-06-06 12:02:19.577001+00:00
000002,3.2500,3.2500,3.3700,3.2300,1644370,540009024.00,927372,716999,1.3783,2026-06-06 12:02:19.577001+00:00
000004,0.0000,0.0000,0.0000,0.0000,0,0.00,0,0,0.0000,2026-06-06 12:02:19.577001+00:00
000006,8.5100,8.4100,8.6900,8.2100,347372,294982912.00,185536,161836,2.5731,2026-06-06 12:02:19.577001+00:00
000007,12.3100,12.4300,12.5500,12.1300,84727,104520992.00,32442,52285,2.4456,2026-06-06 12:02:19.577001+00:00
000008,2.5900,2.5700,2.6000,2.5600,213548,55119840.00,120583,92965,0.7861,2026-06-06 12:02:19.577001+00:00
000009,7.1900,7.1500,7.3400,7.0200,256012,183708864.00,132735,123277,0.9926,2026-06-06 12:02:19.577001+00:00
000010,2.2600,2.1000,2.2600,2.1000,227961,50637368.00,136493,91468,1.9829,2026-06-06 12:02:19.577001+00:00
000011,7.5800,7.1900,7.6000,7.1900,63617,47083920.00,36893,26725,1.0674,2026-06-06 12:02:19.577001+00:00
000012,4.3800,4.1600,4.5400,4.0700,1282677,558342848.00,739395,543282,4.2159,2026-06-06 12:02:19.577001+00:00
000014,10.6700,10.4600,10.8000,10.4000,56923,60470828.00,31721,25202,2.3517,2026-06-06 12:02:19.577001+00:00
000016,3.1800,3.2000,3.2400,3.1700,206801,66173620.00,82845,123956,0.0000,2026-06-06 12:02:19.577001+00:00
000017,5.3200,5.2400,5.4100,5.2100,92130,49089440.00,46042,46089,0.0000,2026-06-06 12:02:19.577001+00:00
000019,6.4200,6.3700,6.4600,6.3600,80899,51929884.00,40112,40788,0.7019,2026-06-06 12:02:19.577001+00:00
000020,12.4600,12.3800,12.6100,12.0000,39953,49295704.00,21542,18411,1.4110,2026-06-06 12:02:19.577001+00:00
000021,38.1300,38.6800,39.3000,37.6800,1362653,5246076928.00,617715,744938,0.0000,2026-06-06 12:02:19.577001+00:00
