id,info_code,title,stock_code,stock_name,org_name,org_sname,publish_date,rating,rating_change,predict_this_year_eps,predict_this_year_pe,predict_next_year_eps,predict_next_year_pe,predict_next_two_year_eps,predict_next_two_year_pe,author,researcher,industry_name,pdf_url,attach_size,attach_pages,created_at
3351,AP202604191821323096,2025年年报点评：国际业务突飞猛进，高速成长正当时,002028,思源电气,东吴证券股份有限公司,东吴证券,2026-04-19,买入,3,5.8900,36.2900,8.1600,26.2100,11.1200,19.2300,"['11000175821.曾朵红', '11000428940.司鑫尧']","曾朵红,司鑫尧",电网设备,QVk5BeptH2ssWz00IL1T60N3t6FHeK7dovhuu7xkBCw=,464,3,2026-06-06 05:26:27.900107+00:00
3352,AP202604191821322782,2025年盈利大幅改善，四季度收入增长提速,601339,百隆东方,国信证券股份有限公司,国信证券,2026-04-19,增持,3,0.5400,14.8000,0.5600,14.4000,0.5400,14.9000,"['11000326132.丁诗洁', '11000444243.刘佳琪']","丁诗洁,刘佳琪",纺织制造,QVk5BeptH2ssWz00IL1T6yBIjIipGPBqeYRx9QDJzCc=,885,7,2026-06-06 05:26:27.900107+00:00
3353,AP202604191821322766,2025年报点评：归母净利润+39%大超预期平台化+高端化+全球化成长可持续,603699,纽威股份,东吴证券股份有限公司,东吴证券,2026-04-19,买入,3,2.5100,20.3900,3.0400,16.8600,3.6600,13.9800,"['11000231136.周尔双', '11000434131.韦译捷']","周尔双,韦译捷",通用设备,QVk5BeptH2ssWz00IL1T6/ePgpW5/7GoxIwghA8zxzQ=,479,3,2026-06-06 05:26:27.900107+00:00
3354,AP202604191821322691,索菲亚：零售门店稳健，大宗拖累收敛，毛利率逆势改善,002572,索菲亚,信达证券股份有限公司,信达证券,2026-04-19,,,0.9600,13.6200,1.0400,12.4900,1.1300,11.5700,"['11000333432.姜文镪', '11000505731.李晨']","姜文镪,李晨",家居用品,QVk5BeptH2ssWz00IL1T6zXdgKDZqiaatKB3AwB/5xs=,871,5,2026-06-06 05:26:27.900107+00:00
3355,AP202604191821322551,行业合并再添一例，东方证券拟收购上海证券100%股权,600958,东方证券,国金证券股份有限公司,国金证券,2026-04-19,买入,3,0.7700,0.0000,0.8500,0.0000,0.9400,0.0000,"['11000370535.舒思勤', '11000413432.洪希柠', '11000510036.方丽', '11000284931.夏昌盛']","舒思勤,洪希柠,方丽,夏昌盛",证券Ⅱ,QVk5BeptH2ssWz00IL1T66gbI3ujww1wRwJDh5yAL3A=,690,4,2026-06-06 05:26:27.900107+00:00
3356,AP202604191821322504,公司动态研究报告：风电高景气筑业绩底盘，海外高增拓空间,605305,中际联合,华鑫证券有限责任公司,华鑫证券,2026-04-19,买入,3,3.1600,14.0000,3.7900,11.7000,4.5000,9.8000,['11000441832.尤少炜'],尤少炜,工程机械,QVk5BeptH2ssWz00IL1T67qlw5IVSweYDZaQNGofEB0=,531,5,2026-06-06 05:26:27.900107+00:00
3357,AP202604191821322387,新股覆盖研究：海昌智能,920156,海昌智能,华金证券股份有限公司,华金证券,2026-04-19,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"['11000176307.李蕙', '11000543232.戴筝筝']","李蕙,戴筝筝",自动化设备,QVk5BeptH2ssWz00IL1T63V9QeayyFbipmmXG6h/Ln8=,658,10,2026-06-06 05:26:27.900107+00:00
3358,AP202604191821322034,产品品类持续创新，渠道多点开花，2025年顺利收官,002956,西麦食品,中银国际证券股份有限公司,中银证券,2026-04-19,买入,3,1.0000,28.1000,1.2000,22.7000,1.4000,19.6000,"['11000308532.邓天娇', '11000443443.李育文']","邓天娇,李育文",休闲食品,QVk5BeptH2ssWz00IL1T61jGyYIY/WKuTlodvbH4bRw=,493,5,2026-06-06 05:26:27.900107+00:00
3359,AP202604191821321970,强劲增长,300666,江丰电子,中邮证券有限责任公司,中邮证券,2026-04-19,买入,3,3.1000,49.6900,4.1300,37.2800,5.5200,27.9000,"['11000392732.吴文吉', '11000524834.陈天瑜']","吴文吉,陈天瑜",半导体,QVk5BeptH2ssWz00IL1T6yT3tUn5sNQJGI1cPNE8bPQ=,744,5,2026-06-06 05:26:27.900107+00:00
3360,AP202604191821321883,2025年营收、利润同比增长，AI教育产品加速推广,002841,视源股份,国信证券股份有限公司,国信证券,2026-04-19,增持,3,1.6300,21.6000,1.8900,18.6000,2.2200,15.9000,"['11000259239.胡慧', '11000426432.叶子', '11000469637.詹浏洋', '11000445039.张大为', '11000480631.李书颖', '11000483936.连欣然']","胡慧,叶子,詹浏洋,张大为,李书颖,连欣然",消费电子,QVk5BeptH2ssWz00IL1T64YK8yy+AsShb7zbuQGEKjk=,804,6,2026-06-06 05:26:27.900107+00:00
