id,code,signal_value,source,updated_at
3,920003,-1.839237,excel_import,2026-06-05 19:23:54.915797+00:00
4,920005,-5.716724,excel_import,2026-06-05 19:23:54.917290+00:00
5,920006,-0.471143,excel_import,2026-06-05 19:23:54.918912+00:00
6,920007,-1.991852,excel_import,2026-06-05 19:23:54.920087+00:00
7,920008,-0.259740,excel_import,2026-06-05 19:23:54.921632+00:00
8,920009,-2.220439,excel_import,2026-06-05 19:23:54.923001+00:00
9,920010,4.143126,excel_import,2026-06-05 19:23:54.923974+00:00
10,920011,-1.070155,excel_import,2026-06-05 19:23:54.924859+00:00
12,920014,2.004008,excel_import,2026-06-05 19:23:54.927133+00:00
13,920015,-0.268037,excel_import,2026-06-05 19:23:54.928304+00:00
14,920016,-2.210315,excel_import,2026-06-05 19:23:54.930071+00:00
15,920017,-0.061652,excel_import,2026-06-05 19:23:54.931499+00:00
16,920018,-3.802083,excel_import,2026-06-05 19:23:54.932517+00:00
17,920019,4.121475,excel_import,2026-06-05 19:23:54.933595+00:00
18,920020,0.613915,excel_import,2026-06-05 19:23:54.935029+00:00
19,920021,-2.983425,excel_import,2026-06-05 19:23:54.936351+00:00
20,920022,-1.611535,excel_import,2026-06-05 19:23:54.937906+00:00
21,920023,1.652893,excel_import,2026-06-05 19:23:54.939402+00:00
22,920026,-2.368198,excel_import,2026-06-05 19:23:54.940342+00:00
23,920027,-1.339829,excel_import,2026-06-05 19:23:54.941242+00:00
24,920028,-6.732892,excel_import,2026-06-05 19:23:54.942342+00:00
25,920029,-1.519964,excel_import,2026-06-05 19:23:54.943737+00:00
26,920030,-2.723735,excel_import,2026-06-05 19:23:54.944848+00:00
27,920033,-1.826196,excel_import,2026-06-05 19:23:54.946214+00:00
28,920035,-3.685152,excel_import,2026-06-05 19:23:54.947611+00:00
29,920036,-4.814733,excel_import,2026-06-05 19:23:54.948604+00:00
31,920039,-3.444181,excel_import,2026-06-05 19:23:54.950543+00:00
32,920045,4.268914,excel_import,2026-06-05 19:23:54.951757+00:00
33,920046,2.886406,excel_import,2026-06-05 19:23:54.952941+00:00
34,920047,-7.454017,excel_import,2026-06-05 19:23:54.953955+00:00
35,920050,-1.450777,excel_import,2026-06-05 19:23:54.955568+00:00
36,920055,-2.790250,excel_import,2026-06-05 19:23:54.956626+00:00
37,920056,-2.437811,excel_import,2026-06-05 19:23:54.957569+00:00
38,920057,-3.113553,excel_import,2026-06-05 19:23:54.958617+00:00
39,920058,-2.596315,excel_import,2026-06-05 19:23:54.960054+00:00
40,920060,-2.091255,excel_import,2026-06-05 19:23:54.961221+00:00
41,920061,1.416917,excel_import,2026-06-05 19:23:54.962715+00:00
42,920062,-2.526132,excel_import,2026-06-05 19:23:54.964496+00:00
43,920066,-1.341752,excel_import,2026-06-05 19:23:54.965897+00:00
44,920068,-0.385675,excel_import,2026-06-05 19:23:54.967135+00:00
45,920069,0.962861,excel_import,2026-06-05 19:23:54.968877+00:00
46,920075,-4.071247,excel_import,2026-06-05 19:23:54.970237+00:00
47,920076,-1.404494,excel_import,2026-06-05 19:23:54.972179+00:00
48,920077,2.800954,excel_import,2026-06-05 19:23:54.973468+00:00
50,920080,-1.243892,excel_import,2026-06-05 19:23:54.976487+00:00
51,920082,-1.393355,excel_import,2026-06-05 19:23:54.978301+00:00
52,920086,-2.031930,excel_import,2026-06-05 19:23:54.980440+00:00
53,920087,1.371037,excel_import,2026-06-05 19:23:54.982226+00:00
54,920088,24.630682,excel_import,2026-06-05 19:23:54.983257+00:00
55,920089,0.877743,excel_import,2026-06-05 19:23:54.984335+00:00
56,920090,1.627907,excel_import,2026-06-05 19:23:54.985533+00:00
57,920091,-2.222222,excel_import,2026-06-05 19:23:54.986686+00:00
58,920092,-2.895250,excel_import,2026-06-05 19:23:54.988348+00:00
59,920096,-7.017544,excel_import,2026-06-05 19:23:54.990112+00:00
60,920098,2.083333,excel_import,2026-06-05 19:23:54.991323+00:00
61,920099,0.214286,excel_import,2026-06-05 19:23:54.992448+00:00
62,920100,5.377358,excel_import,2026-06-05 19:23:54.993704+00:00
63,920101,-2.059801,excel_import,2026-06-05 19:23:54.994887+00:00
64,920106,0.353123,excel_import,2026-06-05 19:23:54.996312+00:00
65,920108,-2.383222,excel_import,2026-06-05 19:23:54.997758+00:00
66,920110,-2.875175,excel_import,2026-06-05 19:23:54.999245+00:00
67,920111,-3.541417,excel_import,2026-06-05 19:23:55.000831+00:00
69,920116,1.828285,excel_import,2026-06-05 19:23:55.003576+00:00
70,920118,-1.635282,excel_import,2026-06-05 19:23:55.005271+00:00
71,920119,-2.614841,excel_import,2026-06-05 19:23:55.006668+00:00
72,920121,-2.007676,excel_import,2026-06-05 19:23:55.007756+00:00
73,920122,-3.434783,excel_import,2026-06-05 19:23:55.008878+00:00
74,920123,-0.890472,excel_import,2026-06-05 19:23:55.010099+00:00
75,920124,-1.910828,excel_import,2026-06-05 19:23:55.011287+00:00
76,920125,-8.051398,excel_import,2026-06-05 19:23:55.012439+00:00
77,920128,-4.447115,excel_import,2026-06-05 19:23:55.014042+00:00
78,920130,-3.518729,excel_import,2026-06-05 19:23:55.015082+00:00
79,920132,-1.239669,excel_import,2026-06-05 19:23:55.016027+00:00
80,920139,0.985761,excel_import,2026-06-05 19:23:55.017103+00:00
81,920145,-4.324324,excel_import,2026-06-05 19:23:55.018387+00:00
82,920146,-2.333333,excel_import,2026-06-05 19:23:55.019489+00:00
83,920149,-3.179825,excel_import,2026-06-05 19:23:55.020659+00:00
84,920152,-7.421150,excel_import,2026-06-05 19:23:55.022248+00:00
85,920156,-0.910205,excel_import,2026-06-05 19:23:55.023383+00:00
86,920158,1.529052,excel_import,2026-06-05 19:23:55.024476+00:00
88,920160,-1.004785,excel_import,2026-06-05 19:23:55.026694+00:00
