code,name,industry,concept_tags,listed_date,total_shares,updated_at
000046,*ST泛海,,,,,2026-06-05 14:22:38.613627+00:00
000004,*ST国华,通信设备,,,,2026-06-06 04:00:42.451361+00:00
000540,*ST中天,,,,,2026-06-05 14:22:38.613627+00:00
000008,神州高铁,交通运输,,,2716377813,2026-06-06 04:00:42.451361+00:00
000009,中国宝安,新能源,,,2579213906,2026-06-06 04:00:42.451361+00:00
000011,深物业A,房地产,,,595979102,2026-06-06 04:00:42.451361+00:00
000012,南 玻Ａ,文教休闲,,,3042468750,2026-06-06 04:00:42.451361+00:00
000014,沙河股份,房地产,,,242046191,2026-06-06 04:00:42.451361+00:00
000017,深中华A,服装家纺,"['sw:纺织服饰', 'tdx:服装家纺', 'dc:珠宝首饰']",,0,2026-06-06 04:00:42.451361+00:00
000021,深科技,通信设备,"['sw:通信', 'tdx:通信设备', 'dc:消费电子']",,0,2026-06-06 04:00:42.451361+00:00
000029,深深房Ａ,房地产,,,1011660000,2026-06-06 04:00:42.451361+00:00
000030,富奥股份,汽车,,,1719810781,2026-06-06 04:00:42.451361+00:00
000031,大悦城,房地产,,,4286313438,2026-06-06 04:00:42.451361+00:00
000032,深桑达Ａ,通信设备,,,1215179297,2026-06-06 04:00:42.451361+00:00
000780,ST平能,,,,,2026-06-05 14:22:38.613627+00:00
000034,神州数码,IT设备,,,1016739688,2026-06-06 04:00:42.451361+00:00
000035,中国天楹,环保,,,2388032813,2026-06-06 04:00:42.451361+00:00
000036,华联控股,房地产,,,1403818750,2026-06-06 04:00:42.451361+00:00
000037,深南电A,电力,,,602762617,2026-06-06 04:00:42.451361+00:00
000039,中集集团,机械制造,,,5392520625,2026-06-06 04:00:42.451361+00:00
880001,总市值,,,,,2026-06-05 14:22:40.797648+00:00
880002,流通市值,,,,,2026-06-05 14:22:40.797648+00:00
880003,平均股价,,,,,2026-06-05 14:22:40.797648+00:00
880004,成交均价,,,,,2026-06-05 14:22:40.797648+00:00
880005,涨跌家数,,,,,2026-06-05 14:22:40.797648+00:00
880006,停板家数,,,,,2026-06-05 14:22:40.797648+00:00
880007,活筹市值,,,,,2026-06-05 14:22:40.797648+00:00
880008,全Ａ等权,,,,,2026-06-05 14:22:40.797648+00:00
880009,全Ａ中位,,,,,2026-06-05 14:22:40.797648+00:00
880011,主板总值,,,,,2026-06-05 14:22:40.797648+00:00
880012,主板流通,,,,,2026-06-05 14:22:40.797648+00:00
880013,主板平均,,,,,2026-06-05 14:22:40.797648+00:00
880014,主板均价,,,,,2026-06-05 14:22:40.797648+00:00
880015,主板涨跌,,,,,2026-06-05 14:22:40.797648+00:00
880016,主板停板,,,,,2026-06-05 14:22:40.797648+00:00
880017,主板活筹,,,,,2026-06-05 14:22:40.797648+00:00
880018,主板等权,,,,,2026-06-05 14:22:40.797648+00:00
880019,主板中位,,,,,2026-06-05 14:22:40.797648+00:00
880031,创业总值,,,,,2026-06-05 14:22:40.797648+00:00
880032,创业流通,,,,,2026-06-05 14:22:40.797648+00:00
880033,创业平均,,,,,2026-06-05 14:22:40.797648+00:00
880034,创业均价,,,,,2026-06-05 14:22:40.797648+00:00
880035,创业涨跌,,,,,2026-06-05 14:22:40.797648+00:00
880036,创业停板,,,,,2026-06-05 14:22:40.797648+00:00
880037,创业活筹,,,,,2026-06-05 14:22:40.797648+00:00
880038,创业等权,,,,,2026-06-05 14:22:40.797648+00:00
880039,创业中位,,,,,2026-06-05 14:22:40.797648+00:00
880041,科创总值,,,,,2026-06-05 14:22:40.797648+00:00
880042,科创流通,,,,,2026-06-05 14:22:40.797648+00:00
880043,科创平均,,,,,2026-06-05 14:22:40.797648+00:00
880044,科创均价,,,,,2026-06-05 14:22:40.797648+00:00
880045,科创涨跌,,,,,2026-06-05 14:22:40.797648+00:00
880046,科创停板,,,,,2026-06-05 14:22:40.797648+00:00
880047,科创活筹,,,,,2026-06-05 14:22:40.797648+00:00
880048,科创等权,,,,,2026-06-05 14:22:40.797648+00:00
880049,科创中位,,,,,2026-06-05 14:22:40.797648+00:00
880071,北证总值,,,,,2026-06-05 14:22:40.797648+00:00
