code,trade_date,pe,pb,ps,total_market_cap,circulating_market_cap
000056,2026-06-05,0.0000,0.0000,,98099696.00,0.00
000001,2026-06-06,1.4700,0.4600,,213076987875.00,
000006,2026-06-05,152.6200,2.1400,,11488457450.00,
000610,2026-06-05,0.0000,0.0000,,14037972.00,0.00
600215,2026-06-06,0.0000,1.2400,,3033702393.75,
000151,2026-06-05,29.1000,5.5800,,4881106480.86,0.00
000006,2026-06-06,152.6200,2.1400,,11488457450.00,
600217,2026-06-06,0.0000,1.9700,,5602869675.00,
000009,2026-06-05,106.2000,1.8500,,18544547985.94,
300434,2026-06-05,3.2700,1.4200,,3792462475.00,
000010,2026-06-05,9.6000,8.8300,,2598214120.31,
600227,2026-06-06,0.0000,2.2100,,4964859309.38,
000009,2026-06-06,106.2000,1.8500,,18544547985.94,
300435,2026-06-05,16.3900,2.0100,,6973691181.25,
000010,2026-06-06,9.6000,8.8300,,2598214120.31,
600228,2026-06-06,0.0000,6.9100,,2637536183.20,
000019,2026-06-05,11.3900,1.4600,,7399276204.69,
000020,2026-06-05,67.8100,7.9400,,3528188444.92,
600231,2026-06-06,0.0000,1.5900,,5657964971.88,
000025,2026-06-05,19.7900,3.5400,,6586570537.50,
000026,2026-06-05,14.0700,2.6900,,9154035487.50,
000027,2026-06-05,2.7800,1.0400,,34681373100.00,
300438,2026-06-05,11.7700,6.6800,,38077928091.80,
300439,2026-06-05,10.1400,1.1500,,3424280410.55,
000028,2026-06-05,4.4100,0.6700,,12684119020.70,
600234,2026-06-06,0.0000,13.8300,,6226998027.34,
000017,2026-06-06,59.9500,9.4000,,3666463784.38,
000030,2026-06-05,6.2300,0.9100,,7773544731.25,
000019,2026-06-06,11.3900,1.4600,,7399276204.69,
000020,2026-06-06,67.8100,7.9400,,3528188444.92,
000034,2026-06-05,10.5300,2.2100,,24849117962.50,
000035,2026-06-05,11.8800,1.2200,,13158060796.88,
000036,2026-06-05,27.5500,1.3900,,7173513812.50,
000021,2026-06-06,24.7900,4.4900,,60026325276.56,
000037,2026-06-05,54.8900,3.9100,,6600250658.20,
